date,ticker,sentiment_mean,sentiment_std,message_count,stocktwits_count,newsapi_count,source
2026-02-21,AMZN,0.2080171794617829,0.4802123837290389,73.0,73,0.0,stocktwits
2026-02-21,NVDA,0.139711652507351,0.4999108133123722,185.0,185,0.0,stocktwits
2026-02-21,TSLA,-0.0003220573766157,0.5515573067423755,120.0,120,0.0,stocktwits
2026-02-22,AAPL,0.1820500324573367,0.5951017595917452,75.0,75,0.0,stocktwits
2026-02-22,AMZN,0.3017499833755816,0.4535861262070214,36.0,36,0.0,stocktwits
2026-02-22,NVDA,0.1807105374100932,0.4692249879449186,169.0,169,0.0,stocktwits
2026-02-22,TSLA,0.0255674944586913,0.5820858854492832,135.0,135,0.0,stocktwits
2026-02-23,AAPL,0.0551796929834633,0.5341626933104275,318.0,318,0.0,stocktwits
2026-02-23,AMZN,0.0302569511850629,0.5462152103509326,218.0,218,0.0,stocktwits
2026-02-23,NVDA,0.0911654964956837,0.5356906984105626,893.0,893,0.0,stocktwits
2026-02-23,TSLA,0.0106861596058515,0.5869246728470832,927.0,927,0.0,stocktwits
2026-02-24,AAPL,0.1825668166697141,0.5073951970977449,320.0,320,0.0,stocktwits
2026-02-24,AMZN,0.154879428140922,0.5347146269186049,199.0,199,0.0,stocktwits
2026-02-24,NVDA,0.1184313926765621,0.5150744039381066,1153.0,1153,0.0,stocktwits
2026-02-24,TSLA,0.0362368411775243,0.5653294664026794,814.0,814,0.0,stocktwits
2026-02-25,AAPL,0.1213196788860268,0.528413509655056,249.0,249,0.0,stocktwits
2026-02-25,AMZN,0.125737026577325,0.5610614762372222,207.0,207,0.0,stocktwits
2026-02-25,NVDA,0.1059435798376845,0.5546151375072114,6632.0,6632,0.0,stocktwits
2026-02-25,TSLA,0.107299240203224,0.6052071720471982,718.0,718,0.0,stocktwits
2026-02-26,AAPL,0.0916243918574341,0.5413508185918903,241.0,241,0.0,stocktwits
2026-02-26,AMZN,0.0899824906488532,0.5628344985712865,182.0,182,0.0,stocktwits
2026-02-26,NVDA,-0.0035456659141967,0.5748636826456628,5357.0,5357,0.0,stocktwits
2026-02-26,TSLA,-0.0296011495652912,0.5426427918478479,606.0,606,0.0,stocktwits
2026-02-27,AAPL,0.0281863557564248,0.5680775001095402,278.0,278,0.0,stocktwits
2026-02-27,AMZN,0.144143522417825,0.5288858593065173,277.0,277,0.0,stocktwits
2026-02-27,NVDA,0.0411662554786854,0.5659088405615238,2566.0,2566,0.0,stocktwits
2026-02-27,TSLA,0.0639288890493571,0.551031607093234,765.0,765,0.0,stocktwits
2026-02-28,AAPL,-0.1739613119026889,0.5670407658237171,69.0,69,0.0,stocktwits
2026-02-28,AMZN,0.1630032666672307,0.5358193766391285,65.0,65,0.0,stocktwits
2026-02-28,NVDA,0.0794436286530586,0.5510343173616465,571.0,571,0.0,stocktwits
2026-02-28,TSLA,-0.0854786589739758,0.5490879492862766,239.0,239,0.0,stocktwits
2026-03-01,AAPL,-0.1362505200896007,0.5398251464312779,92.0,92,0.0,stocktwits
2026-03-01,AMZN,0.0239813063293695,0.5620326532950208,50.0,50,0.0,stocktwits
2026-03-01,NVDA,0.1393372626160271,0.5275650733126188,400.0,400,0.0,stocktwits
2026-03-01,TSLA,-0.0558970921473311,0.5819723957557964,182.0,182,0.0,stocktwits
2026-03-02,AAPL,0.0245486162779147,0.5544383010602543,251.0,251,0.0,stocktwits
2026-03-02,AMZN,-0.0140879133073282,0.534494255932017,197.0,197,0.0,stocktwits
2026-03-02,NVDA,0.146088841896493,0.5571131779255468,1344.0,1344,0.0,stocktwits
2026-03-02,TSLA,-0.008358490754627,0.5784671073582383,839.0,839,0.0,stocktwits
2026-03-03,AAPL,0.0678983791074024,0.5405927229205753,209.0,209,0.0,stocktwits
2026-03-03,AMZN,0.1259752536866035,0.563500635962439,177.0,177,0.0,stocktwits
