date,ticker,message_count,sentiment_mean,sentiment_std
2016-03-19,NVDA,9,0.0,0.0
2016-03-20,NVDA,10,0.0,0.0
2016-03-21,NVDA,26,0.0,0.0
2016-03-22,NVDA,10,0.0,0.0
2016-03-23,NVDA,37,0.0,0.0
2016-03-24,NVDA,17,0.0,0.0
2016-03-25,NVDA,5,0.0,0.0
2016-03-26,NVDA,6,0.0,0.0
2016-03-27,NVDA,2,0.0,0.0
2016-03-28,NVDA,17,0.0,0.0
2016-03-29,NVDA,36,0.0,0.0
2016-03-30,NVDA,34,0.0,0.0
2016-03-31,NVDA,27,0.0,0.0
2016-04-01,NVDA,19,0.0,0.0
2016-04-02,NVDA,11,0.0,0.0
2016-04-03,NVDA,7,0.0,0.0
2016-04-04,NVDA,25,0.0,0.0
2016-04-05,NVDA,26,0.0,0.0
2016-04-06,NVDA,55,0.0,0.0
2016-04-07,NVDA,24,0.0,0.0
2016-04-08,NVDA,8,0.0,0.0
2016-04-09,NVDA,9,0.0,0.0
2016-04-10,NVDA,5,0.0,0.0
2016-04-11,NVDA,17,0.0,0.0
2016-04-12,NVDA,10,0.0,0.0
2016-04-13,NVDA,19,0.0,0.0
2016-04-14,NVDA,15,0.0,0.0
2016-04-15,NVDA,24,0.0,0.0
2016-04-16,NVDA,5,0.0,0.0
2016-04-17,NVDA,4,0.0,0.0
2016-04-18,NVDA,5,0.0,0.0
2016-04-19,NVDA,10,0.0,0.0
2016-04-20,NVDA,10,0.0,0.0
2016-04-21,NVDA,7,0.0,0.0
2016-04-22,NVDA,13,0.0,0.0
2016-04-23,NVDA,2,0.0,0.0
2016-04-24,NVDA,10,0.0,0.0
2016-04-25,NVDA,9,0.0,0.0
2016-04-26,NVDA,9,0.0,0.0
2016-04-27,NVDA,16,0.0,0.0
2016-04-28,NVDA,18,0.0,0.0
2016-04-29,NVDA,21,0.0,0.0
2016-04-30,NVDA,3,0.0,0.0
2016-05-01,NVDA,3,0.0,0.0
2016-05-02,NVDA,15,0.0,0.0
2016-05-03,NVDA,12,0.0,0.0
2016-05-04,NVDA,21,0.0,0.0
2016-05-05,NVDA,16,0.0,0.0
2016-05-06,NVDA,6,0.0,0.0
2016-05-07,NVDA,66,0.0,0.0
2016-05-08,NVDA,30,0.0,0.0
2016-05-09,NVDA,44,0.0,0.0
2016-05-10,NVDA,35,0.0,0.0
2016-05-11,NVDA,29,0.0,0.0
2016-05-12,NVDA,267,0.0,0.0
2016-05-13,NVDA,490,0.0,0.0
2016-05-14,NVDA,32,0.0,0.0
2016-05-15,NVDA,37,0.0,0.0
2016-05-16,NVDA,181,0.0,0.0
2016-05-17,NVDA,66,0.0,0.0
2016-05-18,NVDA,151,0.0,0.0
2016-05-19,NVDA,60,0.0,0.0
2016-05-20,NVDA,80,0.0,0.0
2016-05-21,NVDA,14,0.0,0.0
2016-05-22,NVDA,17,0.0,0.0
2016-05-23,NVDA,66,0.0,0.0
2016-05-24,NVDA,111,0.0,0.0
2016-05-25,NVDA,142,0.0,0.0
2016-05-26,NVDA,161,0.0,0.0
2016-05-27,NVDA,44,0.0,0.0
2016-05-28,NVDA,7,0.0,0.0
2016-05-29,NVDA,7,0.0,0.0
2016-05-30,NVDA,7,0.0,0.0
2016-05-31,NVDA,74,0.0,0.0
2016-06-01,NVDA,79,0.0,0.0
2016-06-02,NVDA,123,0.0,0.0
2016-06-03,NVDA,82,0.0,0.0
2016-06-04,NVDA,17,0.0,0.0
2016-06-05,NVDA,7,0.0,0.0
2016-06-06,NVDA,32,0.0,0.0
2016-06-07,NVDA,28,0.0,0.0
2016-06-08,NVDA,33,0.0,0.0
2016-06-09,NVDA,93,0.0,0.0
2016-06-10,NVDA,58,0.0,0.0
2016-06-11,NVDA,9,0.0,0.0
2016-06-12,NVDA,4,0.0,0.0
2016-06-13,NVDA,46,0.0,0.0
2016-06-14,NVDA,37,0.0,0.0
2016-06-15,NVDA,39,0.0,0.0
2016-06-16,NVDA,46,0.0,0.0
2016-06-17,NVDA,62,0.0,0.0
2016-06-18,NVDA,2,0.0,0.0
2016-06-19,NVDA,10,0.0,0.0
2016-06-20,NVDA,50,0.0,0.0
2016-06-21,NVDA,16,0.0,0.0
2016-06-22,NVDA,15,0.0,0.0
2016-06-23,NVDA,41,0.0,0.0
2016-06-24,NVDA,77,0.0,0.0
2016-06-25,NVDA,6,0.0,0.0
2016-06-26,NVDA,15,0.0,0.0
2016-06-27,NVDA,51,0.0,0.0
2016-06-28,NVDA,36,0.0,0.0
2016-06-29,NVDA,30,0.0,0.0
2016-06-30,NVDA,20,0.0,0.0
2016-07-01,NVDA,53,0.0,0.0
2016-07-02,NVDA,9,0.0,0.0
2016-07-03,NVDA,7,0.0,0.0
2016-07-04,NVDA,13,0.0,0.0
2016-07-05,NVDA,39,0.0,0.0
2016-07-06,NVDA,22,0.0,0.0
2016-07-07,NVDA,84,0.0,0.0
2016-07-08,NVDA,108,0.0,0.0
2016-07-09,NVDA,19,0.0,0.0
2016-07-10,NVDA,13,0.0,0.0
2016-07-11,NVDA,62,0.0,0.0
2016-07-12,NVDA,65,0.0,0.0
2016-07-13,NVDA,34,0.0,0.0
2016-07-14,NVDA,61,0.0,0.0
2016-07-15,NVDA,93,0.0,0.0
2016-07-16,NVDA,14,0.0,0.0
2016-07-17,NVDA,24,0.0,0.0
2016-07-18,NVDA,58,0.0,0.0
2016-07-19,NVDA,54,0.0,0.0
2016-07-20,NVDA,69,0.0,0.0
2016-07-21,NVDA,48,0.0,0.0
2016-07-22,NVDA,90,0.0,0.0
2016-07-23,NVDA,22,0.0,0.0
2016-07-24,NVDA,11,0.0,0.0
2016-07-25,NVDA,84,0.0,0.0
2016-07-26,NVDA,83,0.0,0.0
2016-07-27,NVDA,62,0.0,0.0
2016-07-28,NVDA,32,0.0,0.0
2016-07-29,NVDA,84,0.0,0.0
2016-07-30,NVDA,31,0.0,0.0
2016-07-31,NVDA,16,0.0,0.0
2016-08-01,NVDA,43,0.0,0.0
2016-08-02,NVDA,40,0.0,0.0
2016-08-03,NVDA,43,0.0,0.0
2016-08-04,NVDA,54,0.0,0.0
2016-08-05,NVDA,52,0.0,0.0
2016-08-06,NVDA,21,0.0,0.0
2016-08-07,NVDA,16,0.0,0.0
2016-08-08,NVDA,72,0.0,0.0
2016-08-09,NVDA,82,0.0,0.0
2016-08-10,NVDA,114,0.0,0.0
2016-08-11,NVDA,662,0.0,0.0
2016-08-12,NVDA,494,0.0,0.0
2016-08-13,NVDA,46,0.0,0.0
2016-08-14,NVDA,32,0.0,0.0
2016-08-15,NVDA,115,0.0,0.0
2016-08-16,NVDA,64,0.0,0.0
2016-08-17,NVDA,88,0.0,0.0
2016-08-18,NVDA,78,0.0,0.0
2016-08-19,NVDA,59,0.0,0.0
2016-08-20,NVDA,16,0.0,0.0
2016-08-21,NVDA,11,0.0,0.0
2016-08-22,NVDA,34,0.0,0.0
2016-08-23,NVDA,37,0.0,0.0
2016-08-24,NVDA,48,0.0,0.0
2016-08-25,NVDA,43,0.0,0.0
2016-08-26,NVDA,40,0.0,0.0
2016-08-27,NVDA,5,0.0,0.0
2016-08-28,NVDA,6,0.0,0.0
2016-08-29,NVDA,31,0.0,0.0
2016-08-30,NVDA,19,0.0,0.0
2016-08-31,NVDA,35,0.0,0.0
2016-09-01,NVDA,97,0.0,0.0
2016-09-02,NVDA,68,0.0,0.0
2016-09-03,NVDA,9,0.0,0.0
2016-09-04,NVDA,19,0.0,0.0
2016-09-05,NVDA,12,0.0,0.0
2016-09-06,NVDA,38,0.0,0.0
2016-09-07,NVDA,47,0.0,0.0
2016-09-08,NVDA,39,0.0,0.0
2016-09-09,NVDA,96,0.0,0.0
2016-09-10,NVDA,16,0.0,0.0
2016-09-11,NVDA,18,0.0,0.0
2016-09-12,NVDA,40,0.0,0.0
2016-09-13,NVDA,57,0.0,0.0
2016-09-14,NVDA,58,0.0,0.0
2016-09-15,NVDA,60,0.0,0.0
2016-09-16,NVDA,71,0.0,0.0
2016-09-17,NVDA,15,0.0,0.0
2016-09-18,NVDA,12,0.0,0.0
2016-09-19,NVDA,111,0.0,0.0
2016-09-20,NVDA,58,0.0,0.0
